"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 14","1,690.13","1,759.20","1,783.30","1,670.41","-","-3.93%"
"Dec 13","1,759.20","1,723.25","1,762.74","1,652.08","-","2.16%"
"Nov 13","1,722.02","1,699.33","1,725.36","1,662.38","-","1.00%"
"Oct 13","1,705.04","1,642.91","1,729.87","1,600.58","-","4.21%"
"Sep 13","1,636.10","1,533.29","1,672.57","1,532.67","-","7.09%"
"Aug 13","1,527.71","1,548.90","1,595.78","1,527.71","-","-1.53%"
"Jul 13","1,551.48","1,457.96","1,563.68","1,426.35","-","7.31%"
"Jun 13","1,445.83","1,530.58","1,536.41","1,406.07","-","-5.02%"
"May 13","1,522.27","1,527.07","1,575.75","1,513.39","-","-0.45%"
"Apr 13","1,529.22","1,477.15","1,529.22","1,441.19","-","3.64%"
"Mar 13","1,475.46","1,481.66","1,525.37","1,451.86","-","-0.52%"
"Feb 13","1,483.18","1,532.40","1,547.88","1,452.50","-","-3.06%"
"Jan 13","1,529.99","1,445.76","1,539.86","1,445.76","-","5.83%"
"Dec 12","1,445.76","1,408.90","1,471.15","1,404.75","-","2.73%"
"Nov 12","1,407.37","1,372.67","1,414.48","1,310.61","-","2.32%"
"Oct 12","1,375.42","1,354.06","1,421.31","1,353.19","-","1.44%"
"Sep 12","1,355.94","1,315.70","1,428.87","1,298.16","-","2.80%"
"Aug 12","1,318.96","1,266.94","1,340.67","1,239.79","-","4.11%"
"Jul 12","1,266.90","1,248.86","1,278.62","1,187.27","-","1.03%"
"Jun 12","1,253.98","1,164.04","1,255.96","1,129.45","-","7.66%"
"May 12","1,164.81","1,340.05","1,356.51","1,154.39","-","-13.02%"
"Apr 12","1,339.22","1,383.32","1,405.41","1,294.17","-","-2.94%"
"Mar 12","1,379.74","1,385.90","1,421.33","1,333.43","-","-0.89%"
"Feb 12","1,392.16","1,308.30","1,412.69","1,307.83","-","6.04%"
"Jan 12","1,312.83","1,251.24","1,340.37","1,230.49","-","4.56%"
"Dec 11","1,255.54","1,273.96","1,299.59","1,190.94","-","-1.60%"
"Nov 11","1,275.98","1,325.77","1,331.71","1,139.99","-","-4.86%"
"Oct 11","1,341.11","1,190.94","1,408.14","1,116.10","-","12.03%"
"Sep 11","1,197.08","1,344.66","1,350.52","1,109.34","-","-11.11%"
"Aug 11","1,346.72","1,515.04","1,521.03","1,215.49","-","-10.26%"
"Jul 11","1,500.68","1,557.68","1,574.45","1,431.41","-","-3.47%"
"Jun 11","1,554.63","1,591.68","1,596.11","1,462.23","-","-2.12%"
"May 11","1,588.34","1,654.53","1,666.72","1,508.48","-","-4.15%"
"Apr 11","1,657.04","1,541.24","1,659.92","1,519.01","-","7.42%"
"Mar 11","1,542.53","1,560.12","1,575.40","1,433.19","-","-1.10%"
"Feb 11","1,559.61","1,516.29","1,573.01","1,513.94","-","3.09%"
"Jan 11","1,512.87","1,447.80","1,538.37","1,413.45","-","3.85%"
"Dec 10","1,456.83","1,344.25","1,469.64","1,344.15","-","8.33%"
"Nov 10","1,344.75","1,464.80","1,526.86","1,335.84","-","-7.81%"
"Oct 10","1,458.64","1,396.56","1,491.98","1,386.72","-","4.25%"
"Sep 10","1,399.18","1,262.96","1,420.84","1,259.50","-","10.89%"
"Aug 10","1,261.72","1,318.27","1,376.07","1,227.10","-","-3.89%"
"Jul 10","1,312.82","1,174.42","1,341.78","1,152.89","-","11.54%"
"Jun 10","1,177.03","1,186.80","1,276.34","1,121.84","-","-0.93%"
"May 10","1,188.13","1,360.32","1,362.36","1,106.20","-","-12.95%"
"Apr 10","1,364.89","1,411.12","1,461.38","1,332.25","-","-3.10%"
"Mar 10","1,408.54","1,333.69","1,427.15","1,311.83","-","6.18%"
"Feb 10","1,326.55","1,345.32","1,394.76","1,269.71","-","-2.19%"
"Jan 10","1,356.25","1,442.12","1,501.64","1,348.60","-","-5.95%"
"Dec 09","1,442.12","1,433.67","1,490.17","1,390.27","-","1.43%"
"Nov 09","1,421.77","1,380.32","1,492.56","1,349.68","-","2.61%"
"Oct 09","1,385.57","1,399.85","1,485.41","1,338.14","-","-1.22%"
"Sep 09","1,402.67","1,347.87","1,439.80","1,285.96","-","4.56%"
"Aug 09","1,341.54","1,269.29","1,363.99","1,241.05","-","6.04%"
"Jul 09","1,265.14","1,151.59","1,274.94","1,079.48","-","10.39%"
"Jun 09","1,146.11","1,190.08","1,221.58","1,108.84","-","-2.21%"
"May 09","1,172.00","1,054.66","1,184.36","1,053.12","-","11.12%"
"Apr 09","1,054.75","924.68","1,069.74","909.37","-","13.16%"
"Mar 09","932.10","856.82","976.75","776.79","-","6.65%"
"Feb 09","873.95","966.47","1,041.21","852.02","-","-10.48%"
"Jan 09","976.21","1,098.84","1,155.09","905.57","-","-11.16%"
"Dec 08","1,098.84","1,043.08","1,780.71","949.20","-","5.18%"
"Nov 08","1,044.68","1,144.81","1,212.42","892.53","-","-7.23%"
"Oct 08","1,126.08","1,441.91","1,455.89","934.19","-","-21.32%"
"Sep 08","1,431.18","1,666.75","1,678.44","1,402.68","-","-15.19%"
"Aug 08","1,687.51","1,748.04","1,783.91","1,618.01","-","-4.20%"
"Jul 08","1,761.54","1,808.16","1,810.73","1,666.25","-","-2.97%"
"Jun 08","1,815.38","1,990.14","1,990.98","1,780.10","-","-8.86%"
"May 08","1,991.83","2,010.22","2,056.29","1,976.28","-","-0.48%"
"Apr 08","2,001.41","1,905.23","2,023.24","1,901.22","-","3.89%"
"Mar 08","1,926.54","1,914.13","1,945.52","1,806.41","-","0.04%"
"Feb 08","1,925.78","1,913.57","1,983.71","1,795.23","-","1.43%"
"Jan 08","1,898.57","2,120.87","2,133.31","1,693.32","-","-10.50%"
"Dec 07","2,121.27","2,161.01","2,205.61","2,045.81","-","-1.78%"
"Nov 07","2,159.77","2,236.04","2,236.81","2,054.56","-","-3.38%"
"Oct 07","2,235.36","2,135.92","2,236.28","2,105.36","-","4.55%"
"Sep 07","2,138.07","2,045.28","2,141.85","1,985.73","-","5.00%"
"Aug 07","2,036.26","2,047.62","2,092.01","1,857.20","-","-1.38%"
"Jul 07","2,064.69","2,108.71","2,192.99","2,009.49","-","-2.20%"
"Jun 07","2,111.24","2,115.37","2,144.02","2,019.17","-","-0.23%"
"May 07","2,116.11","2,095.05","2,122.88","2,048.07","-","1.09%"
"Apr 07","2,093.28","1,981.53","2,113.23","1,975.80","-","5.98%"
"Mar 07","1,975.17","1,914.83","1,988.12","1,831.61","-","3.25%"
"Feb 07","1,912.93","1,931.70","1,999.00","1,897.11","-","-0.47%"
"Jan 07","1,922.02","1,926.05","1,952.34","1,867.73","-","0.54%"
"Dec 06","1,911.79","1,858.78","1,921.58","1,843.11","-","3.18%"
"Nov 06","1,852.94","1,791.89","1,863.03","1,785.44","-","3.32%"
"Oct 06","1,793.41","1,725.86","1,801.28","1,715.40","-","4.23%"
"Sep 06","1,720.64","1,709.04","1,731.59","1,660.27","-","0.80%"
"Aug 06","1,707.06","1,656.00","1,719.56","1,641.59","-","2.84%"
"Jul 06","1,659.88","1,636.63","1,666.76","1,541.40","-","1.42%"
"Jun 06","1,636.57","1,626.02","1,668.88","1,502.59","-","0.07%"
"May 06","1,635.37","1,699.25","1,754.93","1,586.34","-","-3.44%"
"Apr 06","1,693.59","1,613.98","1,703.64","1,607.40","-","4.74%"
"Mar 06","1,616.91","1,564.66","1,639.56","1,543.72","-","3.49%"
"Feb 06","1,562.33","1,562.43","1,584.44","1,524.53","-","-0.05%"
"Jan 06","1,563.09","1,474.32","1,570.34","1,473.26","-","6.47%"
"Dec 05","1,468.09","1,419.73","1,488.67","1,419.73","-","3.48%"
"Nov 05","1,418.67","1,399.11","1,435.59","1,389.12","-","1.44%"
"Oct 05","1,398.48","1,436.63","1,445.93","1,362.26","-","-3.20%"
"Sep 05","1,444.75","1,418.68","1,471.08","1,417.31","-","2.36%"
"Aug 05","1,411.39","1,399.03","1,454.50","1,386.58","-","1.19%"
"Jul 05","1,394.84","1,337.66","1,398.09","1,296.16","-","3.57%"
"Jun 05","1,346.73","1,329.91","1,363.95","1,326.39","-","1.13%"
"May 05","1,331.64","1,329.96","1,364.93","1,316.92","-","-0.19%"
"Apr 05","1,334.20","1,374.37","1,396.62","1,327.12","-","-2.92%"
"Mar 05","1,374.34","1,408.46","1,442.75","1,361.35","-","-2.97%"
"Feb 05","1,416.42","1,350.29","1,425.91","1,349.56","-","4.80%"
"Jan 05","1,351.52","1,372.37","1,384.86","1,322.02","-","-1.92%"
"Dec 04","1,377.95","1,325.46","1,385.45","1,316.18","-","4.18%"
"Nov 04","1,322.64","1,238.64","1,335.98","1,238.42","-","7.11%"
"Oct 04","1,234.84","1,193.08","1,243.51","1,193.08","-","3.56%"
"Sep 04","1,192.38","1,148.73","1,202.97","1,148.73","-","3.94%"
"Aug 04","1,147.19","1,151.45","1,155.24","1,113.35","-","-0.26%"
