"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 10","51.50","51.85","53.95","50.05","134.00M","-1.34%"
"Jun 10","52.20","52.25","54.40","52.00","153.81M","-0.38%"
"May 10","52.40","52.90","53.50","49.60","176.47M","-0.85%"
"Apr 10","52.85","54.35","54.35","51.25","170.55M","-2.13%"
"Mar 10","54.00","53.80","54.65","52.45","208.15M","1.03%"
"Feb 10","53.45","50.25","53.50","48.18","215.78M","5.84%"
"Jan 10","50.50","50.15","51.65","48.34","212.18M","0.60%"
"Dec 09","50.20","47.90","51.25","47.85","176.26M","5.73%"
"Nov 09","47.48","47.66","48.97","46.74","184.50M","-0.71%"
"Oct 09","47.82","44.38","48.70","42.86","220.19M","8.29%"
"Sep 09","44.16","44.00","44.70","43.00","181.68M","0.41%"
"Aug 09","43.98","43.90","44.24","41.12","197.22M","0.00%"
"Jul 09","43.98","41.18","44.84","40.72","159.92M","7.48%"
"Jun 09","40.92","39.50","41.44","38.24","209.24M","5.74%"
"May 09","38.70","38.14","41.18","37.82","221.04M","3.59%"
"Apr 09","37.36","38.50","40.26","36.68","219.79M","-2.91%"
"Mar 09","38.48","38.14","38.76","35.04","280.03M","0.37%"
"Feb 09","38.34","40.08","40.66","36.70","285.01M","-4.58%"
"Jan 09","40.18","42.88","43.40","38.86","256.25M","-3.41%"
"Dec 08","41.60","43.90","44.30","39.94","239.66M","-5.33%"
"Nov 08","43.94","45.46","47.84","40.22","261.25M","-2.36%"
"Oct 08","45.00","48.10","48.56","38.02","454.47M","-6.64%"
"Sep 08","48.20","48.28","50.75","45.82","316.33M","-0.82%"
"Aug 08","48.60","46.00","50.10","45.80","225.79M","5.47%"
"Jul 08","46.08","46.10","46.92","42.22","306.09M","-0.17%"
"Jun 08","46.16","51.50","52.25","45.20","293.95M","-9.93%"
"May 08","51.25","50.00","51.85","49.78","199.70M","3.12%"
"Apr 08","49.70","49.75","52.85","48.92","269.18M","0.15%"
"Mar 08","49.63","49.63","50.85","47.50","316.71M","-0.65%"
"Feb 08","49.95","48.67","50.95","46.10","343.76M","3.42%"
"Jan 08","48.30","51.80","52.65","44.28","448.10M","-7.12%"
