"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 10","357.87","375.37","391.06","349.22","-","-4.66%"
"Jul 10","375.37","361.63","386.43","351.21","-","3.80%"
"Jun 10","361.63","363.48","391.61","350.37","-","-0.51%"
"May 10","363.48","376.60","383.53","334.45","-","-3.48%"
"Apr 10","376.60","377.55","388.10","364.97","-","-0.25%"
"Mar 10","377.55","343.40","382.24","343.40","-","9.94%"
"Feb 10","343.40","347.11","356.04","330.42","-","-1.07%"
"Jan 10","347.11","357.25","373.58","343.96","-","-2.84%"
"Dec 09","357.25","339.23","359.48","334.92","-","5.31%"
"Nov 09","339.23","326.99","354.34","320.55","-","3.74%"
"Oct 09","326.99","342.13","362.27","325.84","-","-4.43%"
"Sep 09","342.13","325.83","356.03","311.72","-","5.00%"
"Aug 09","325.83","307.54","332.85","303.13","-","5.95%"
"Jul 09","307.54","272.06","309.09","256.46","-","13.04%"
"Jun 09","272.06","278.43","294.04","260.96","-","-2.29%"
"May 09","278.43","276.36","291.11","263.72","-","0.75%"
"Apr 09","276.36","233.60","280.33","228.75","-","18.30%"
"Mar 09","233.60","227.25","243.88","208.38","-","2.79%"
"Feb 09","227.25","251.47","277.96","221.21","-","-9.63%"
"Jan 09","251.47","277.83","296.48","231.36","-","-8.97%"
"Dec 08","276.25","263.74","277.42","241.81","-","4.74%"
"Nov 08","263.74","258.47","282.98","220.05","-","2.04%"
"Oct 08","258.47","349.47","353.29","208.84","-","-26.04%"
"Sep 08","349.47","416.89","424.33","334.85","-","-16.17%"
"Aug 08","416.89","419.52","433.03","400.66","-","-0.63%"
"Jul 08","419.52","415.20","423.65","381.59","-","1.04%"
"Jun 08","415.20","465.95","466.10","408.87","-","-10.89%"
"May 08","465.95","457.49","484.89","455.23","-","1.85%"
"Apr 08","457.49","428.50","460.15","426.40","-","6.77%"
"Mar 08","428.50","468.38","475.81","411.08","-","-8.51%"
"Feb 08","468.38","457.92","496.13","446.39","-","2.28%"
"Jan 08","457.92","553.27","557.61","421.94","-","-17.23%"
"Dec 07","553.27","548.18","562.88","532.49","-","0.93%"
"Nov 07","548.18","543.06","558.11","507.44","-","0.94%"
"Oct 07","543.06","523.79","553.04","518.96","-","3.68%"
"Sep 07","523.79","522.53","531.66","491.32","-","0.24%"
"Aug 07","522.53","526.71","529.35","479.43","-","-0.79%"
"Jul 07","526.71","569.60","589.03","517.54","-","-7.53%"
"Jun 07","569.60","553.18","579.44","529.05","-","2.97%"
"May 07","553.18","522.25","553.24","510.72","-","5.92%"
"Apr 07","522.25","483.94","527.73","480.60","-","7.92%"
"Mar 07","483.94","475.92","487.05","454.10","-","1.69%"
"Feb 07","475.92","487.06","502.05","466.13","-","-2.29%"
"Jan 07","487.06","459.70","490.23","453.41","-","5.95%"
"Dec 06","459.70","435.33","460.97","430.57","-","5.60%"
"Nov 06","435.33","422.85","447.20","421.33","-","2.95%"
"Oct 06","422.85","414.92","434.64","409.64","-","1.91%"
"Sep 06","414.92","401.64","417.48","398.18","-","3.31%"
"Aug 06","401.64","386.17","404.26","380.01","-","4.01%"
"Jul 06","386.17","401.79","405.57","371.19","-","-3.89%"
"Jun 06","401.79","404.02","413.04","362.43","-","-0.55%"
"May 06","404.02","434.60","449.54","389.41","-","-7.04%"
"Apr 06","434.60","434.34","446.71","422.17","-","0.06%"
"Mar 06","434.34","428.81","435.96","419.37","-","1.29%"
"Feb 06","428.81","423.03","437.05","416.24","-","1.37%"
"Jan 06","423.03","394.68","427.03","394.68","-","7.18%"
"Dec 05","394.68","366.71","399.37","366.71","-","7.63%"
"Nov 05","366.71","350.86","372.28","349.46","-","4.52%"
