Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691439
,SEC.M.A1.1000.F33000.N.4.EUR.E.Z,SEC.M.A1.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.Z01.E.S,SEC.M.I8.1000.F33000.N.4.Z01.E.Z,SEC.M.I8.1000.F33000.N.4.Z06.E.Z,SEC.M.I8.1000.F33100.N.4.EUR.E.Z,SEC.M.I8.1000.F33100.N.4.Z01.E.Z,SEC.M.I8.1000.F33100.N.4.Z06.E.Z,SEC.M.I8.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33200.N.4.Z01.E.S,SEC.M.I8.1000.F33200.N.4.Z01.E.Z,SEC.M.I8.1000.F33200.N.4.Z06.E.Z,SEC.M.I8.1000.F33201.N.4.EUR.E.Z,SEC.M.I8.1000.F33201.N.4.Z01.E.Z,SEC.M.I8.1000.F33201.N.4.Z06.E.Z,SEC.M.I8.1000.F33202.N.4.EUR.E.Z,SEC.M.I8.1000.F33202.N.4.Z01.E.Z,SEC.M.I8.1000.F33202.N.4.Z06.E.Z,SEC.M.I8.1100.F33000.N.4.Z01.E.S,SEC.M.I8.1100.F33000.N.4.Z01.E.Z,SEC.M.I8.1100.F33100.N.4.Z01.E.Z,SEC.M.I8.1100.F33200.N.4.Z01.E.S,SEC.M.I8.1100.F33200.N.4.Z01.E.Z,SEC.M.I8.1100.F33201.N.4.Z01.E.Z,SEC.M.I8.1100.F33202.N.4.Z01.E.Z,SEC.M.I8.1235.F33000.N.4.Z01.E.S,SEC.M.I8.1235.F33000.N.4.Z01.E.Z,SEC.M.I8.1235.F33100.N.4.Z01.E.Z,SEC.M.I8.1235.F33200.N.4.Z01.E.S,SEC.M.I8.1235.F33200.N.4.Z01.E.Z,SEC.M.I8.1235.F33201.N.4.Z01.E.Z,SEC.M.I8.1235.F33202.N.4.Z01.E.Z,SEC.M.I8.12A0.F33000.N.4.Z01.E.S,SEC.M.I8.12A0.F33000.N.4.Z01.E.Z,SEC.M.I8.12A0.F33100.N.4.Z01.E.Z,SEC.M.I8.12A0.F33200.N.4.Z01.E.S,SEC.M.I8.12A0.F33200.N.4.Z01.E.Z,SEC.M.I8.12A0.F33201.N.4.Z01.E.Z,SEC.M.I8.12A0.F33202.N.4.Z01.E.Z,SEC.M.I8.1300.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33000.N.4.Z01.E.S,SEC.M.I8.130D.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33100.N.4.Z01.E.Z,SEC.M.I8.130D.F33200.N.4.Z01.E.S,SEC.M.I8.130D.F33200.N.4.Z01.E.Z,SEC.M.I8.1311.F33000.N.4.Z01.E.S,SEC.M.I8.1311.F33000.N.4.Z01.E.Z,SEC.M.I8.1311.F33200.N.4.Z01.E.S,SEC.M.I8.1311.F33200.N.4.Z01.E.Z
2010Oct,12700.600,37917.603,42657.690,43028.000,57922.609,15264.919,-7158.019,-8394.678,-1236.659,49815.709,53877.000,66317.286,16501.577,47469.494,61234.530,13765.036,1134.482,5594.344,4459.862,6578.000,8738.878,1539.567,6093.000,7199.311,6973.917,276.044,-5066.000,18117.660,8996.189,-12918.000,9121.471,10255.101,-206.039,-20450.000,-22805.752,-19708.677,-1557.000,-3097.076,12980.406,-13938.935,53871.823,6273.000,8369.671,2230.909,6307.000,6138.762,55694.000,45502.152,55952.000,46954.818
2010Sep,18323.255,4264.710,17582.740,49163.000,6539.091,-11043.649,3061.738,2769.257,-292.481,14521.002,35039.000,3769.834,-10751.168,42843.210,48340.065,5496.855,-7820.392,-21369.527,-13549.135,8346.000,6861.868,-2766.593,8068.000,9628.460,8329.328,1301.335,-7061.000,-25943.376,-2515.475,-8203.000,-23427.901,-6312.960,-7895.293,16826.000,-5585.882,-10199.522,17128.000,4613.640,15515.297,-10256.810,31206.481,12363.000,10405.007,5737.443,5466.000,4667.564,18690.000,20801.474,12580.000,8288.070
2010Aug,64041.989,31915.913,61301.306,110369.000,81077.934,19776.628,29527.586,38421.524,8893.938,31773.720,84436.000,42656.410,10882.690,24858.857,25988.605,1129.748,8805.049,11293.211,2488.162,2416.000,-1131.173,-2456.287,4216.000,1325.113,1862.053,-169.978,45790.000,29674.684,8247.478,38696.000,21427.207,5708.148,12328.243,16369.000,19426.454,25614.554,-631.000,-6188.100,-807.415,-3695.424,33107.968,-42.000,-529.969,-2115.284,2067.000,1585.315,45836.000,33637.937,40089.000,24506.874
2010Jul,23078.892,34816.692,48171.945,38069.000,18188.201,-29983.744,12469.276,1114.160,-11355.116,35702.669,52442.000,17074.040,-18628.628,-9964.894,-7933.311,2031.583,50085.608,33340.250,-16745.358,1999.000,4179.403,4697.777,-4.000,-518.374,1861.277,-1279.855,356.000,3887.096,-6752.171,8126.000,10639.267,2630.575,14781.804,-9942.000,-6772.435,-854.951,-2755.000,-5917.484,-11893.074,9184.579,16894.137,5536.000,4028.127,8473.454,-2648.000,-4445.327,40120.000,12866.010,49723.000,17315.959
2010Jun,-167.291,20830.726,-9397.749,13925.000,-25094.702,-15696.953,-31103.125,-35085.252,-3982.127,21705.375,13558.000,9990.550,-11714.826,32777.334,24408.040,-8369.294,-4360.017,-9421.673,-5061.656,-1754.000,-7314.601,-10495.717,3145.000,3181.116,6924.803,-1135.940,-4370.000,-18361.711,3027.852,-10888.000,-21389.563,-6039.957,-13342.296,-6385.000,-35939.749,-19770.735,-13074.000,-16169.014,-12679.318,76.564,36521.359,16701.000,16698.833,-574.601,16243.000,17273.434,9734.000,19822.526,18133.000,27094.577
2010May,286.357,2992.918,29469.523,-17466.000,48410.986,18941.462,4825.968,1156.779,-3669.188,24643.556,-12473.000,47254.206,22610.651,39103.255,43419.344,4316.089,-15664.499,-5706.383,9958.116,1705.000,7480.589,4849.965,114.000,2630.624,2378.900,-860.403,7821.000,16231.151,7614.241,1103.000,8616.910,1029.136,1694.783,-46323.000,-25446.196,-1503.347,-44023.000,-23942.850,-12749.030,-11196.944,50145.441,1620.000,813.767,5176.908,-4080.000,-4363.141,17711.000,49331.674,34413.000,64312.662
2010Apr,31013.605,34608.917,38386.842,52454.000,71804.314,33417.473,3809.036,8304.653,4495.617,34577.806,50948.000,63499.662,28921.856,49855.082,68734.568,18879.486,-7932.977,-4439.697,3493.280,7825.000,12692.712,2451.628,8520.000,10241.084,9864.487,-414.630,26.000,7817.185,3722.002,-3035.000,4095.184,5874.877,-6852.293,12487.000,17148.643,8338.334,5539.000,8810.309,11807.571,-5837.346,34145.774,4627.000,4557.406,826.322,3162.000,3731.084,27490.000,29588.368,36761.000,36622.001
2010Mar,137573.702,124840.940,95598.665,112409.000,107354.465,11755.800,-4236.478,-1536.114,2700.364,99835.143,116965.000,108890.579,9055.436,84778.788,97641.251,12862.463,10616.547,4191.078,-6425.469,9416.000,10021.128,-919.962,10861.000,10941.090,11839.201,231.029,320.000,-7853.787,363.361,2478.000,-8217.148,6156.073,-19878.746,56520.000,53874.896,13413.127,41834.000,40461.770,28063.104,13087.301,51312.228,6461.000,8511.790,92.150,6885.000,8419.640,39693.000,42800.438,54907.000,57285.227
2010Feb,48934.832,66272.877,49843.266,6.000,47078.984,-2764.282,-22299.140,-23489.512,-1190.372,72142.407,28386.000,70568.496,-1573.911,87546.307,86700.623,-845.684,-18896.923,-19646.466,-749.543,14785.000,16828.712,3148.843,13250.000,13679.869,11079.266,2329.851,-9625.000,-14834.052,-8157.007,-2467.000,-6677.045,-6188.981,-2238.691,-44506.000,-21572.048,-2792.850,-36480.000,-18779.198,-4610.738,-13676.179,66656.372,3195.000,4463.953,1233.508,2254.000,3230.445,36156.000,62192.419,51829.000,79114.425
2010Jan,46072.196,43960.845,49536.349,20461.000,71360.164,21823.816,11073.247,11331.219,257.971,38463.101,68322.000,60028.946,21565.844,32936.297,42602.007,9665.710,-5054.450,3197.892,8252.342,2054.000,6184.724,3183.703,4392.000,3001.021,2458.733,273.078,2559.000,-10568.194,-712.015,3910.000,-9856.179,2498.465,-17279.437,9307.000,45227.990,1475.209,35836.000,43752.781,36696.771,4889.765,30515.645,-5247.000,-7542.584,-9708.390,3264.000,2165.806,11787.000,38058.229,20921.000,20965.517
2009Dec,-74589.893,-47139.081,-72863.932,48910.000,-69244.742,3619.190,-35503.289,-25534.578,9968.711,-37360.643,10204.000,-43710.164,-6349.521,13169.003,10226.964,-2942.038,-25973.863,-30798.212,-4824.349,9893.000,-989.678,-4002.591,6419.000,3012.913,4426.839,-1881.076,-6197.000,3230.058,-62.159,-6229.000,3292.217,226.616,4101.358,12664.000,-27584.683,22688.498,-27637.000,-50273.181,-6749.940,-33092.896,-43900.439,5171.000,5596.141,-2932.669,9434.000,8528.810,27380.000,-49496.580,28217.000,-8270.923
2009Nov,57875.245,89135.612,60035.406,22700.000,71200.009,11164.603,-24914.233,-17220.300,7693.933,84949.638,39506.000,88420.308,3470.670,72177.537,77296.574,5119.037,9068.296,7208.598,-1859.698,3845.000,3667.534,-5095.820,8121.000,8763.355,8841.161,-902.498,-4748.000,14253.867,-299.859,-4280.000,14553.725,9582.881,4871.143,5518.000,10849.641,-3823.417,13867.000,14673.057,18080.679,-3645.365,42428.967,-156.000,1298.526,-1743.067,1478.000,3041.593,18241.000,41130.441,20319.000,47388.578
2009Oct,-3938.699,60802.177,24024.297,18889.000,29871.586,5847.289,-31942.064,-30656.568,1285.495,55966.360,54958.000,60528.154,4561.794,60979.435,63648.806,2669.371,-11737.760,-13494.507,-1756.747,5570.000,8228.609,-2239.124,9057.000,10467.734,11274.487,-484.772,1464.000,18813.516,5841.126,-3703.000,12972.390,2821.652,2500.109,-49559.000,-49851.389,-41609.176,-5773.000,-8242.214,7327.733,-15189.334,52680.850,6485.000,8188.533,688.074,7655.000,7500.459,54928.000,44492.317,47722.000,37829.786
2009Sep,105021.649,72814.799,78076.988,124091.000,83716.292,5639.303,2978.586,7545.827,4567.241,75098.402,104953.000,76170.465,1072.062,76698.875,82792.977,6094.102,-15278.995,-22368.315,-7089.320,20383.000,17912.628,-1685.526,18758.000,19598.154,19020.640,297.627,18913.000,2296.158,-3480.958,19928.000,5777.116,8146.073,-5988.915,11847.000,-10359.140,102.938,965.000,-10462.078,6107.057,-23224.238,73866.646,5977.000,4333.923,3219.812,1904.000,1114.111,66971.000,69532.723,63397.000,60143.162
2009Aug,48104.239,59049.111,29146.959,50923.000,22247.342,-6899.617,-14708.489,-26352.662,-11644.173,43855.448,90619.000,48600.004,4744.556,36648.119,39326.007,2677.887,-4496.623,-2728.087,1768.536,-105.000,-3211.212,-1746.118,1243.000,-1465.094,-715.303,-740.729,11653.000,-2821.557,-3067.119,15378.000,245.563,2384.096,-6291.924,-9098.000,-9362.546,-31499.547,31383.000,22137.000,13477.677,4069.568,37642.657,263.000,-689.004,-2812.824,2820.000,2123.820,48210.000,38331.661,39794.000,25558.715
2009Jul,27355.493,24342.049,52452.691,86172.000,68455.890,16003.199,20598.218,23714.660,3116.443,31854.474,76124.000,44741.230,12886.756,6404.975,10189.133,3784.159,17174.369,21329.872,4155.503,12732.000,14560.606,5.637,14907.000,14554.969,12354.841,-1068.872,36375.000,36771.214,-4836.318,42088.000,41607.531,17092.600,18726.117,11113.000,16160.532,-5783.938,22933.000,21944.470,16027.980,5776.117,963.538,2169.000,1510.260,-1181.018,4357.000,2691.278,23783.000,-546.722,-8162.000,-36057.019
2009Jun,84437.742,115151.954,55228.136,102243.000,69699.719,14471.583,-48466.457,-57763.681,-9297.225,103694.592,122365.000,127463.400,23768.808,114193.795,134226.022,20032.227,-1416.752,-3789.829,-2373.077,16090.000,11185.217,-5658.682,16414.000,16843.899,14123.671,295.882,23960.000,19097.126,-1223.204,23105.000,20320.330,20246.120,-2466.958,8829.000,-22604.277,-43130.874,22677.000,20526.597,31669.076,-10779.348,62021.652,4302.000,3832.359,-2082.528,4840.000,5914.887,49063.000,58189.293,55329.000,63857.686
2009May,205704.673,204086.549,168333.871,111197.000,169604.232,1270.360,687.492,-5997.179,-6684.670,167646.380,119883.000,175601.410,7955.031,125806.947,136998.285,11191.338,25497.033,19766.743,-5730.290,8071.000,14207.222,-5594.319,16782.000,19801.542,20545.452,-850.310,20137.000,26618.374,-3206.695,23605.000,29825.069,5419.256,18204.090,39265.000,59235.588,4655.297,33946.000,54580.290,52477.471,-7222.441,69543.048,508.000,-344.241,-2770.847,2622.000,2426.606,43216.000,69887.289,42929.000,68967.904
2009Apr,79478.850,78962.967,102629.308,90902.000,109585.432,6956.124,31346.275,31964.981,618.705,71283.032,68267.000,77620.452,6337.419,43013.379,46404.504,3391.124,15639.507,14714.099,-925.408,6105.000,10993.611,-3011.095,12749.000,14004.705,13230.671,167.378,29194.000,32983.186,325.194,29282.000,32657.992,15982.029,11962.382,22095.000,27597.806,-9381.159,35009.000,36978.965,20336.614,8833.152,38010.831,8545.000,7873.444,-4141.615,11802.000,12015.059,24963.000,30137.387,-20575.000,-18036.269
2009Mar,172778.387,156066.088,133997.551,147110.000,150391.625,16394.073,-9116.130,5696.981,14813.111,143113.681,147605.000,144694.643,1580.962,112088.390,118044.707,5956.317,30513.530,26468.476,-4045.054,1961.000,2295.392,-7049.394,9804.000,9344.787,10979.733,-1364.246,37542.000,30133.621,1870.860,37462.000,28262.760,15693.586,14964.743,15627.000,16567.581,-9900.739,24603.000,26468.319,25179.989,3342.600,101395.031,4895.000,6936.615,1129.097,4212.000,5807.518,87084.000,94458.416,71524.000,74811.259
2009Feb,190707.068,172696.781,184836.542,151481.000,198790.472,13953.931,19859.197,25679.300,5820.103,164977.345,132199.000,173111.172,8133.827,114859.522,130026.249,15166.727,44095.961,40464.669,-3631.292,4073.000,6422.885,-5631.573,11486.000,12054.458,11812.801,202.161,47700.000,46058.580,-2256.834,49481.000,48315.413,28781.463,22714.624,45371.000,71119.079,21596.475,30381.000,49522.604,37804.277,8556.895,75189.929,1972.000,3125.748,2378.581,40.000,747.167,52365.000,72064.181,40811.000,62471.530
2009Jan,94375.165,75067.582,136651.635,100316.000,150693.564,14041.929,46788.664,54123.313,7334.649,89862.972,105583.000,96570.252,6707.280,56091.104,62054.433,5963.329,17981.055,12495.078,-5485.977,1869.000,9648.431,-8339.928,19511.000,17988.359,18619.482,-1098.345,37158.000,24174.215,-24449.599,62076.000,48623.814,18170.315,24490.617,4721.000,38961.827,30527.655,2984.000,8434.172,4660.262,-6581.727,77909.092,10219.000,8034.942,3053.671,5969.000,4981.271,46349.000,69874.150,15044.000,16542.636
2008Dec,186941.935,178445.025,154089.630,248485.000,138014.364,-16075.266,-17419.196,-11999.189,5420.007,171508.826,196932.000,150013.553,-21495.273,53828.297,37082.769,-16745.529,131281.283,126732.568,-4548.715,27784.000,13088.528,696.445,15154.000,12392.083,11446.675,-372.745,124864.000,137990.512,-994.210,125705.000,138984.722,10586.771,126946.925,27351.000,-15758.545,-11979.036,19162.000,-3779.508,-7581.543,5084.359,2693.869,8915.000,9794.817,8808.281,1741.000,986.536,59572.000,-7100.948,35169.000,1429.720
2008Nov,218835.815,172073.393,228011.991,168664.000,207190.890,-20821.101,55509.367,47728.169,-7781.198,172502.624,121764.000,159462.721,-13039.903,79520.976,73386.409,-6134.567,85036.427,78876.426,-6160.001,6590.000,5961.360,3670.131,1853.000,2291.229,3661.367,-1334.209,60934.000,75543.808,-3125.562,64523.000,78669.370,10803.016,67528.508,23834.000,28689.862,25751.068,3958.000,2938.794,-9138.586,7856.006,96995.860,2065.000,3768.762,2565.801,-473.000,1202.961,75242.000,93227.098,51903.000,74360.367
2008Oct,99996.711,30643.895,152645.194,141348.000,151338.371,-1306.823,110566.500,114217.723,3651.223,42078.694,38125.000,37120.649,-4958.046,-10948.097,-11885.037,-936.940,54547.760,51044.358,-3503.402,-3488.000,-247.405,2823.600,-4465.000,-3071.005,-2121.889,-953.243,25221.000,37112.211,2120.845,24324.000,34991.366,-4755.187,38731.453,8881.000,11698.827,10109.416,3916.000,1589.411,-1150.096,8222.256,102774.738,5134.000,6306.264,8446.567,-2229.000,-2140.303,105599.000,96468.474,16578.000,5751.180
2008Sep,-4930.772,-12914.869,-40051.744,-5828.000,-45955.534,-5903.790,-16329.819,-11642.971,4686.848,-23721.925,-12419.000,-34312.563,-10590.637,-2061.513,-6464.765,-4403.252,-26741.888,-33598.883,-6856.995,4096.000,-327.643,-5003.140,4680.000,4675.497,2930.714,1817.612,8703.000,-5848.099,-1673.799,6231.000,-4174.300,4105.501,-8698.946,-18546.000,-40474.787,-21710.149,-8990.000,-18764.637,-12447.610,-7261.375,694.995,1999.000,749.573,830.769,791.000,-81.196,-2081.000,-54.578,-15130.000,-15967.926
2008Aug,123173.792,87476.720,105175.643,136113.000,108306.534,3130.891,29029.154,34107.803,5078.649,76146.489,114238.000,74198.731,-1947.758,17169.367,19098.571,1929.204,57854.675,53539.584,-4315.091,2976.000,694.596,-982.267,3675.000,1676.863,832.534,841.248,60272.000,49083.415,5698.492,55662.000,43384.922,3818.013,39641.909,22765.000,19857.255,17181.954,14579.000,2675.301,-5312.114,8796.922,38671.268,3460.000,2377.938,510.769,2566.000,1867.169,46640.000,36293.330,37756.000,24594.475
2008Jul,15987.527,25159.189,60405.090,96978.000,80157.856,19752.765,30456.813,44494.658,14037.845,29948.277,62013.000,35663.198,5714.920,3151.827,6212.457,3060.630,17691.897,18731.146,1039.249,2969.000,5062.778,4286.755,1089.000,776.022,-415.901,2117.594,16480.000,16287.164,9626.926,8129.000,6660.237,-939.597,6372.906,43868.000,49692.819,16564.610,31838.000,33128.209,21570.066,3935.806,9115.095,5901.000,4703.955,3279.383,3151.000,1424.572,27760.000,4411.140,17807.000,-6325.843
2008Jun,138061.218,114447.846,76675.802,114121.000,83364.086,6688.283,-10768.246,-10978.571,-210.325,87444.048,85466.000,94342.657,6898.608,41232.612,49227.271,7994.659,50736.129,49896.201,-839.928,4490.000,-747.114,-316.052,-1180.000,-431.062,845.607,-748.159,50708.000,50153.321,4949.400,43817.000,45203.921,5914.928,38691.163,49353.000,16420.012,-19727.436,38026.000,36147.448,38167.918,5458.942,17537.867,899.000,1218.591,-753.641,948.000,1972.232,8672.000,16319.276,3856.000,11450.118
2008May,185823.019,158526.625,145087.784,105486.000,161938.689,16850.906,27608.953,33958.588,6349.635,117478.830,75293.000,127980.101,10501.271,66982.157,77257.244,10275.087,60439.830,60433.379,-6.451,5505.000,12412.693,2396.968,6917.000,10015.725,9836.345,731.321,31407.000,36236.251,1567.680,29842.000,34668.571,4827.719,27945.577,76310.000,95260.521,31732.885,43821.000,63527.636,33682.796,27465.340,18029.225,788.000,376.510,-1841.570,2403.000,2218.080,-8524.000,17652.715,-7690.000,17550.089
2008Apr,65555.781,96161.005,76731.354,68438.000,86285.041,9553.688,8395.309,12459.995,4064.686,68336.045,68588.000,73825.047,5489.002,34790.463,41253.754,6463.291,33698.894,32015.331,-1683.563,-269.000,4766.811,1192.877,2630.000,3573.934,2863.398,681.560,24079.000,25630.187,-345.300,25114.000,25975.487,5309.217,19665.940,25523.000,32677.835,5142.980,26641.000,27534.856,18057.725,13336.198,23210.208,1465.000,1462.877,1383.361,-19.000,79.516,17640.000,21747.331,14222.000,16661.254
2008Mar,99316.277,29695.925,40698.524,33321.000,42363.802,1665.278,21176.512,25647.190,4470.678,19522.013,13187.000,16716.613,-2805.400,-10108.778,-11861.549,-1752.771,24262.951,22031.562,-2231.389,-2144.000,-2220.345,1772.834,-3373.000,-3993.179,-3850.575,-128.546,18045.000,12050.277,2417.167,16670.000,9633.110,-3143.172,11513.510,4744.000,9061.399,2280.621,1686.000,6780.779,-2094.953,5927.844,23472.472,-1338.000,205.387,983.551,-2346.000,-778.164,14014.000,23267.085,548.000,5074.068
2008Feb,85382.695,48470.320,75338.364,34429.000,77886.813,2548.449,24842.127,25061.947,219.820,50496.237,15483.000,52824.866,2328.629,19098.948,20607.247,1508.299,27306.562,27307.242,0.680,-461.000,1429.766,1623.787,-801.000,-194.022,-1040.773,881.751,18316.000,18706.846,11630.487,7017.000,7076.359,-2593.614,8204.043,-10055.000,15411.509,496.145,-5075.000,14915.364,6117.296,8312.798,42338.692,-1196.000,-669.348,0.519,-1119.000,-669.867,27824.000,43008.040,15461.000,31697.032
2008Jan,42581.262,876.596,63372.517,30596.000,71273.616,7901.099,68401.392,71190.118,2788.726,-5028.875,6814.000,83.498,5112.373,-19865.899,-17787.055,2078.844,2821.237,5082.466,2261.229,6678.000,12242.855,8105.214,5886.000,4137.641,3564.597,571.524,6906.000,-5447.978,4345.872,2296.000,-9793.850,135.228,-10444.808,18817.000,47988.545,34831.982,10235.000,13156.563,2392.320,5351.717,16490.194,-6190.000,-7683.604,-6786.619,-134.000,-896.985,4384.000,24173.798,-11470.000,-6519.871
2007Dec,27332.912,56537.852,-963.312,81109.000,-17157.336,-16194.024,-49240.554,-53443.698,-4203.144,48277.242,82703.000,36286.362,-11990.880,-16198.545,-25310.507,-9111.962,70965.083,68718.166,-2246.917,2973.000,-9361.707,-6527.972,-193.000,-2833.735,-4544.356,1987.727,54430.000,68232.804,3383.234,50834.000,64849.570,-1601.817,65517.649,38008.000,-5213.890,1548.409,16209.000,-6762.299,-5447.190,5668.820,-70814.543,4048.000,4229.210,5411.127,-505.000,-1181.917,-18349.000,-75043.753,16358.000,-17785.257
2007Nov,88374.397,80116.716,70535.733,30317.000,63295.086,-7240.647,10733.902,8323.319,-2410.583,59801.832,24221.000,54971.768,-4830.064,31018.957,28138.932,-2880.025,27238.318,25598.968,-1639.350,4059.000,3673.996,-517.506,3719.000,4191.502,4931.949,-724.020,15511.000,27454.738,91.749,15694.000,27362.989,-469.493,26536.175,10866.000,15194.289,14135.460,3371.000,1058.829,1841.187,-739.345,16972.064,-1912.000,-188.160,-66.934,-1734.000,-121.226,1793.000,17160.224,3172.000,22479.674
2007Oct,106552.149,74980.216,128292.844,139801.000,145355.873,17063.029,65465.357,75261.843,9796.486,62827.487,73765.000,70094.030,7266.543,2415.317,10567.898,8152.581,50951.693,49889.655,-1062.038,7640.000,10840.405,9171.717,249.000,1668.688,3428.407,-1498.219,49506.000,57305.884,8240.667,41764.000,49065.217,8431.223,40848.493,79141.000,83677.520,53283.979,32036.000,30393.541,19389.185,2988.880,-6467.936,3047.000,4196.755,3086.958,641.000,1109.797,467.000,-10664.691,-925.000,-12143.213
2007Sep,84922.975,21656.205,51040.763,73066.000,41513.057,-9527.706,36131.032,29506.874,-6624.158,14909.731,29988.000,12006.182,-2903.548,22152.118,20393.181,-1758.937,2473.845,1711.835,-762.010,-459.000,-4812.564,-3541.123,-790.000,-1271.441,-1697.629,658.188,8262.000,-2410.921,-3604.877,9987.000,1193.956,-658.788,356.881,46155.000,27583.022,37694.493,-1047.000,-10111.471,-9445.886,-1598.353,21153.520,566.000,-581.027,-1451.129,1877.000,870.102,18542.000,21734.547,19961.000,21325.036
2007Aug,34045.279,-1219.341,31952.364,58949.000,25463.012,-6489.352,34162.191,28759.488,-5402.703,-2209.827,36431.000,-3296.476,-1086.649,-9608.596,-7559.200,2049.396,4803.537,1874.142,-2929.395,-8486.000,-10718.810,-9339.888,431.000,-1378.922,-748.121,-611.334,18571.000,7657.105,-156.226,19202.000,7813.331,892.619,6271.081,41146.000,32633.706,29270.054,16567.000,3363.652,-609.562,4738.795,-4108.989,4393.000,3192.315,2452.319,1445.000,739.996,3324.000,-7301.304,-1214.000,-13834.533
2007Jul,4214.083,24414.102,28716.953,64290.000,46281.653,17564.700,19912.941,22703.914,2790.973,8804.012,47537.000,23577.739,14773.727,-17940.945,-10664.693,7276.252,18113.830,25317.235,7203.405,8081.000,9663.930,7183.877,2806.000,2480.053,606.035,1983.149,28953.000,27201.300,2012.959,27697.000,25188.341,2964.680,22134.730,28432.000,33471.153,14630.501,16365.000,18840.652,12814.345,-493.090,-24054.731,2055.000,886.496,1389.199,1209.000,-502.703,-3232.000,-24941.227,-540.000,-22428.604
2007Jun,131994.252,100065.438,47068.374,79859.000,62601.446,15533.072,-18293.938,-17455.226,838.712,65362.312,68302.000,80056.672,14694.360,26117.738,35552.260,9434.522,46718.811,54105.350,7386.539,18597.000,15222.481,1037.381,12921.000,14185.100,9764.628,5871.302,19585.000,22874.162,-348.226,18882.000,23222.388,-1489.232,24409.697,22222.000,-2153.709,-24012.473,23747.000,21858.764,21129.933,13864.065,26658.513,-399.000,-148.380,-493.488,-455.000,345.108,19854.000,26806.893,13207.000,20445.313
2007May,217600.201,191494.967,166822.847,133088.000,188765.115,21942.268,24951.914,29669.025,4717.111,141870.933,106775.000,159096.090,17225.157,68717.661,76111.665,7394.004,52725.201,60846.955,8121.754,4300.000,10992.858,3932.818,3424.000,7060.040,5037.784,2027.256,36031.000,39912.513,-1059.335,36878.000,40971.848,2039.015,38626.658,48412.000,66367.793,15478.798,31863.000,50888.995,15114.691,16309.311,71491.951,-2002.000,-2227.446,-363.542,-1783.000,-1863.904,46347.000,73719.397,36393.000,62039.110
2007Apr,27008.224,42809.866,59275.079,62680.000,76679.549,17404.470,26547.011,29256.804,2709.793,32728.068,44403.000,47422.745,14694.677,26251.047,30528.012,4276.965,11482.904,21640.506,10157.602,6248.000,10112.196,7469.985,2058.000,2642.211,-327.623,3063.105,688.000,1910.392,515.748,841.000,1394.644,7410.920,-6364.007,43497.000,49526.581,16034.211,33131.000,33492.371,11722.807,16084.731,15130.379,4342.000,4365.080,487.328,3911.000,3877.752,7905.000,10765.299,4462.000,6015.767
2007Mar,228318.145,139229.420,133476.718,130404.000,143907.229,10430.511,36056.801,38742.134,2685.333,97419.917,98011.000,105165.095,7745.178,23708.730,28478.293,4769.564,65909.736,68540.348,2630.612,8502.000,7984.302,5199.052,3753.000,2785.250,2633.613,-293.366,54297.000,47497.625,621.218,53850.000,46876.407,3122.052,43103.695,43741.000,51837.610,5323.735,38168.000,46513.875,24600.001,17261.975,36587.693,1878.000,3075.079,35.493,1621.000,3039.586,21985.000,33512.614,619.000,5949.977
2007Feb,112158.267,100408.459,99801.179,90464.000,126945.897,27144.718,14922.247,20239.935,5317.688,84878.932,73864.000,106705.962,21827.030,16691.806,27238.355,10546.549,58936.597,69878.808,10942.211,535.000,1846.925,1301.917,65.000,545.008,-184.629,876.467,42049.000,43669.960,2542.365,40447.000,41127.595,6808.081,34183.084,48501.000,69832.952,4980.302,45787.000,64852.650,27669.980,30997.446,11596.060,565.000,964.695,564.584,62.000,400.111,-1188.000,10631.365,-12498.000,-219.402
2007Jan,100970.906,76935.448,99444.710,81034.000,116602.515,17157.805,48370.371,54504.030,6133.658,51074.339,66630.000,62098.486,11024.147,36390.234,39632.522,3242.288,6918.633,13408.640,6490.007,-203.000,3974.866,5599.226,43.000,-1624.360,-106.251,-1489.259,13954.000,2218.619,-2419.908,15900.000,4638.527,-688.687,3988.485,49976.000,71386.786,34878.390,35708.000,36508.396,21915.594,12386.739,39022.244,-2025.000,-2984.553,-3912.205,1409.000,927.652,19332.000,42006.797,13570.000,21648.270
2006Dec,-29370.177,14053.704,-60262.708,35110.000,-56370.439,3892.269,-71778.650,-72572.674,-794.024,11515.942,62065.000,16202.235,4686.293,-14143.659,-17857.820,-3714.161,23564.939,32235.815,8670.876,2708.000,-7460.877,-10124.188,5359.000,2663.311,-278.556,4630.056,17458.000,31488.427,2300.837,14839.000,29187.590,7096.137,21627.775,25778.000,-12447.656,-25735.224,35750.000,13287.568,-10277.096,20654.912,-67950.333,3857.000,3763.906,3565.546,898.000,198.360,-14691.000,-71714.239,5220.000,-29134.594
